,Key,String,,,,
Word count,,En,Pt,Es,Cn,Vn
1,w_accessibility,Accessibility,Acessibilidade,Accesibilidad,订阅相关说明,Khả năng  truy cập
34,s_web_checkoutterm02,"I understand that I can cancel at any time, prior to the upcoming billing date, to avoid paying the retail price, and the monthly or annual subscription will be automatically renewed until I cancel.","A assinatura será renovada automaticamente no fim do período atual. Você pode cancelar a qualquer momento para evitar a cobrança do próximo ciclo. O acesso continua disponível até o fim da assinatura já paga.","Entiendo que puedo cancelar en cualquier momento, antes de la próxima fecha de facturación, para evitar pagar el precio de venta, y la suscripción mensual o anual se renovará automáticamente hasta que se cancele.",我了解，我可以在​​下一个账单日之前随时取消​​订阅，以避免支付零售价，月度或年度订阅​​将继续自动续订直至我取消​​。,"Tôi hiểu rằng tôi có thể hủy bất kỳ lúc nào trước ngày thanh toán tiếp theo để tránh phải trả phí theo giá bán lẻ, và gói đăng ký hàng tháng hoặc hàng năm sẽ tự động gia hạn cho đến khi tôi hủy."
33,s_web_checkoutterm03,"I understand that I can cancel at any time, prior to the upcoming billing date, to avoid the next charge, and the monthly or annual subscription will be automatically renewed until I cancel.","A assinatura será renovada automaticamente no fim do período atual. Você pode cancelar a qualquer momento para evitar a cobrança do próximo ciclo. O acesso continua disponível até o fim da assinatura já paga.","Entiendo que puedo cancelar en cualquier momento, antes de la próxima fecha de facturación, para evitar el próximo cargo, y la suscripción mensual o anual se renovará automáticamente hasta que se cancele.",我了解，我可以在​​下一个账单日之前随时取消​​订阅，以避免下次扣款，月度或年度订阅​​将继续自动续续订直至我取消​​。,"Tôi hiểu rằng tôi có thể hủy bất kỳ lúc nào trước ngày thanh toán tiếp theo để tránh bị tính phí lần kế tiếp, và gói đăng ký hàng tháng hoặc hàng năm sẽ tự động gia hạn cho đến khi tôi hủy."
2,w_billingdate,Billing Date,Data de cobrança,Fecha de facturación,账单日期​,Ngày Thanh Toán
25,s_yourdowngradesubscription,"Your downgrade subscription will take effect on your next billing date {}. If you don’t wish to continue, you may cancel anytime before that date.","A mudança para o novo plano entrará em vigor na sua próxima data de cobrança. Se não quiser continuar, você pode cancelar a assinatura a qualquer momento antes dessa data.","El cambio de plan de tu suscripción entrará en vigor el siguiente día de facturación {}. Si no deseas continuar, puedes cancelar en cualquier momento antes de esa fecha.",您的降级操作将在您的下一个账单日 ​​{}​​ 生效。如果您不希望继续，请在该日期之前随时取消。,"Gói hạ cấp của bạn sẽ có hiệu lực vào ngày thanh toán tiếp theo là {}. Nếu bạn không muốn tiếp tục, bạn có thể hủy bất kỳ lúc nào trước ngày đó."
1,w_day,day,dia,día,天,ngày
10,s_premiumdesc,Stream on up to 4 devices - Perfect for families!,Assista em até 4 dispositivos ao mesmo tempo. Perfeito para toda a família!,Transmisión en hasta 4 dispositivos - ¡Perfecto para toda la familia!,​​最多可在 4 台设备上同时观看 - 全家适用理想之选！​,Xem trên tối đa 4 thiết bị — Hoàn hảo cho cả gia đình!
8,s_basicdesc,Enjoy your favorite shows at the best price!,"Curta seus programas favoritos pelo melhor preço!",¡Disfruta de tus programas favoritos al mejor precio!,​​以最佳价格尽享您喜爱的节目！​,Thưởng thức các chương trình yêu thích với mức giá tốt nhất!
5,s_annualdesc,{n}% Cheaper than Monthly Plan,{n}% mais barato que o plano mensal. ,{n}% más barato que el plan mensual,比月度计划节省 {n}%,Rẻ hơn {n}% so với Gói Hàng Tháng
7,s_promodescn,Only {n} days left to save 30%,"Faltam só {n} dias para aproveitar 30% de desconto!",Solo quedan {n} días para ahorrar un 30%,仅剩 {n} 天可享 7 折优惠​​,Chỉ còn {n} ngày để hưởng ưu đãi tiết kiệm 30%
7,s_promodesc1,Only 1 day left to save 30%,Falta só {n} dia para aproveitar 30% de desconto!,Solo queda 1 día para ahorrar un 30%,仅剩 1 天享 7 折优惠​​ ,Chỉ còn 1 ngày để hưởng ưu đãi tiết kiệm 30%
6,s_promodesctoday,Only today left to save 30%!,Último dia para garantir 30% de desconto!,¡Último día para ahorrar un 30%!,仅剩今日享 7 折优惠！,Chỉ hôm nay để hưởng ưu đãi tiết kiệm 30%!
2,s_yourplan,Your Plan,Seu plano,Tu plan,您的订阅计划,Gói Của Bạn
4,s_comparebasic,Compared to Basic Plan:,Comparado ao Plano Básico:,Comparado con el plan Básico:,相比基础订阅计划,So với Gói Cơ bản:
4,s_comparepremium,Compared to Premium Plan:,"Comparado ao Plano Premium:
",Comparado con el plan Premium:,相比高级订阅计划,So với Gói Cao cấp:
2,s_watchadfree,Watch Ad-Free,"Assista sem anúncios",Ver sin anuncios,无广告观看,Xem Không Quảng Cáo
4,s_downloadwatch,Download & Watch Offline,"Baixe e assista offline",Descargar y ver sin conexión,下载并离线观看​,Tải Xuống & Xem Ngoại Tuyến
4,s_uptoprofiles,Up to 4 Profiles,Até 4 perfis,Hasta 4 perfiles,最多 4个个人资料​,Tối Đa 4 Hồ Sơ
7,s_saveannual,Save about {n}% with the Annual Plan!,Economize cerca de {n}% com o plano anual!,¡Ahorra alrededor de {n}% con el plan anual!,使用年度订阅计划可节省约 {n}%！​,Tiết kiệm {n}% với Gói Hàng Năm!
22,s_web_checkoutterm04,I understand that this is a one-time purchase and will not renew automatically. No additional charges will be incurred unless I resubscribe.,"Entendo que esta é uma compra única e que a assinatura não será renovada automaticamente. Nenhuma cobrança adicional será feita, a menos que eu assine novamente.",Entiendo que esta es una compra única y no se renovará automáticamente. No se aplicarán cargos adicionales a menos que vuelva a suscribirme.,我了解，此为一次性购买，不会自动续订。除非我重新订阅，否则不会产生额外费用。​,Tôi hiểu rằng đây là giao dịch một lần và sẽ không tự động gia hạn. Sẽ không có khoản phí nào khác phát sinh trừ khi tôi đăng ký lại.
2,w_discountamount,Discount Amount,Valor do desconto,Importe del descuento,优惠金额​​,Số Tiền Giảm Giá
1,w_permonth,/mo,/mês,/mes,/月,/ tháng
5,s_upgradeex,Upgrade for a Better Experience!,"Faça upgrade para uma experiência ainda melhor!",¡Actualizar para una mejor experiencia!,​​升级获得更佳体验！​​,Nâng Cấp Để Có Trải Nghiệm Tốt Hơn!
4,s_yourcurplan,Your Current Plan :,Seu plano atual,Tu plan actual:,您当前的订阅计划：​,Gói Dịch Vụ Hiện Tại Của Bạn:
10,s_moveright,Move right to view the plans and check their details.,"Deslize para a direita para ver os planos e conferir os detalhes.",Desliza hacia la derecha para ver los planes y comprobar sus detalles.,向右滑动查看订阅计划并了解其详情。​,Vuốt sang phải để xem các gói dịch vụ và thông tin chi tiết.
22,s_koc_substogetcontent,"Subscribe to get priority access to over 40,000 hours of the best Korean Dramas, TV Shows, Movies, and Webcomics with premium subtitles.","Assine e tenha acesso prioritário a mais de 40.000 horas de dramas, séries, filmes e webcomics coreanos, com legendas premium.","Suscríbete para obtener acceso prioritario a más de 40 000 horas de los mejores dramas, programas de televisión, películas y webcómics coreanos con subtítulos premium.","立即订阅，优先观看超过 40,000 小时精选韩剧、电视节目、电影和网络漫画，均享高质量字幕。​","Đăng ký để được quyền truy cập hơn 40.000 giờ Phim Truyền Hình Hàn Quốc, Chương Trình Truyền Hình, Phim Điện Ảnh, và Webcomic hay nhất với phụ đề chất lượng cao."
14,s_anotherplatform,"If you purchased from another platform, you must upgrade your plan through that platform.","Se você assinou por outra plataforma, será necessário fazer o upgrade por lá.","Si te suscribiste desde otra plataforma, debes actualizar tu plan a través de esa plataforma.",如果您是在其他平台购买的订阅，您必须通过该平台升级您的方案。​,"Nếu bạn mua gói dịch vụ từ nền tảng khác, bạn cần nâng cấp gói thông qua nền tảng đó."
13,s_promofreetrial,"During promotion events, you won’t be able to access the 14-day Free Trial.","Durante eventos promocionais, o período de teste gratuito de 14 dias não estará disponível.","Durante los eventos de promoción, no podrás acceder a la prueba gratis de 14 días.",​​促销活动期间，您将无法享受 14 天免费试用。​,"Trong thời gian khuyến mãi, bạn sẽ không thể dùng thử miễn phí 14 ngày."
1,w_permo,/mo,/mês,/mes,/月,/ tháng
1,w_peryr,/yr,/ano,/año,​​/年,/ năm
2,w_unlimitedcontents,Unlimited Contents,Conteúdo ilimitado,Contenido ilimitado,无限观看内容​,Nội Dung Không Giới Hạn
4,s_downlaodandoffline,Download & Offline Playback,"Download e reprodução offline
",Descarga y reproducción sin conexión,下载及离线播放,Tải Xuống & Xem Lại Ngoại Tuyến
6,s_dayfreetrial,{}-day Free Trial (Once per account),Período de teste gratuito de {n} dias (uma vez por conta),Prueba gratis de {} días (una vez por cuenta),{}-天免费试用 (每账号限一次)​,Dùng Thử Miễn Phí {} ngày (mỗi tài khoản chỉ Một Lần)
4,s_whychoose,Why Choose KOCOWA+ Service?,Por que escolher o KOCOWA+?,¿Por qué elegir KOCOWA+?,为何选择 KOCOWA+ 服务？​,Tại Sao Chọn Dịch Vụ KOCOWA+?
1,w_exclusive,Exclusive,Exclusivo,Exclusivo,​​独家,Độc quyền
4,w_koreandramaandmovies,Korean Drama & Movies,Dramas e filmes coreanos,Drama y películas coreanas,韩剧&电影​,Phim Truyền Hình & Phim Điện Ảnh Hàn Quốc
8,s_watchtoprated,"Watch top-rated K-dramas and moives, only available here!","Assista a K-dramas e filmes mais populares — só aqui!
","¡Mira los mejores K-dramas y películas, solo disponibles aquí!",​​观看顶级韩剧与电影，仅在此处提供！​,"Thưởng thức những bộ Phim Truyền Hình & Phim Điện Ảnh Hàn Quốc ăn khách, chỉ có tại đây!"
2,w_multilanguagesubtitles,Multi-Language Subtitles,Legendas em vários idiomas,Subtítulos en varios idiomas,​​多语言字幕​,Phụ Đề Đa Ngôn Ngữ
9,s_enjoycontentinyour,Enjoy Content in your preferred language with high-quality subtitles.,"Curta o conteúdo no seu idioma preferido com legendas de alta qualidade.",Disfruta del contenido en tu idioma preferido con subtítulos de alta calidad.,用您偏好的语言享受高质量字幕内容。​,Thưởng Thức Nội Dung bằng ngôn ngữ yêu thích với phụ đề chất lượng cao.
4,s_fastseamless,Fast & Seamless Streaming,Streaming rápido e sem interrupções,Transmisión fluida y rápida,快速&流畅播放,Truyền Phát Nhanh & Mượt
9,s_nobuffering,No buffering! High-speed streaming for the best viewing experience.,Nada de travamentos! Aproveite uma experiência fluida e de alta velocidade.,¡Sin búfer! Transmisión de alta velocidad para la mejor experiencia de visualización.,​​无缓冲卡顿！高速播放，带来最佳观影体验。​,Không bị giật hình! Trải nghiệm xem mượt mà với tốc độ cao.
2,s_crossdevicesync,Cross-Device Sync,Sincronização entre dispositivos,Sincronización entre dispositivos,跨设备同步​,Đồng Bộ Đa Thiết Bị
9,s_startononedevice,Start on one device and continue on another seamlessly.,"Continue do ponto onde parou, em qualquer dispositivo.
",Iniciar en un dispositivo y continuar en otro sin problemas.,​​在一台设备上开始播放，无缝切换到另一台设备继续观看。​,Bắt đầu xem trên một thiết bị và tiếp tục xem trên thiết bị khác một cách liền mạch.
4,s_flexibleplan,"Flexible Plan & Easy
Cancellation",Plano flexível e cancelamento fácil,Plan flexible y cancelación fácil,"灵活方案&轻松
取消",Gói Dịch Vụ Linh Hoạt & Dễ Dàng Hủy
